iso3,lat,lon
ABW,12.5211,-69.9683
AFG,33.9391,67.7100
AGO,-11.2027,17.8739
AIA,18.2206,-63.0686
ALA,60.1785,19.9156
ALB,41.1533,20.1683
AND,42.5063,1.5218
ARE,23.4241,53.8478
ARG,-38.4161,-63.6167
ARM,40.0691,45.0382
ASM,-14.2710,-170.1322
ATA,-75.2509,-0.0713
ATF,-49.2804,69.3486
ATG,17.0608,-61.7964
AUS,-25.2744,133.7751
AUT,47.5162,14.5501
AZE,40.1431,47.5769
BDI,-3.3731,29.9189
BEL,50.5039,4.4699
BEN,9.3077,2.3158
BES,12.1784,-68.2385
BFA,12.2383,-1.5616
BGD,23.6850,90.3563
BGR,42.7339,25.4858
BHR,26.0667,50.5577
BHS,25.0343,-77.3963
BIH,43.9159,17.6791
BLM,17.9000,-62.8333
BLR,53.7098,27.9534
BLZ,17.1899,-88.4976
BMU,32.3078,-64.7505
BOL,-16.2902,-63.5887
BRA,-14.2350,-51.9253
BRB,13.1939,-59.5432
BRN,4.5353,114.7277
BTN,27.5142,90.4336
BVT,-54.4208,3.4138
BWA,-22.3285,24.6849
CAF,6.6111,20.9394
CAN,56.1304,-106.3468
CCK,-12.1642,96.8710
CHE,46.8182,8.2275
CHL,-35.6751,-71.5430
CHN,35.8617,104.1954
CIV,7.5400,-5.5471
CMR,7.3697,12.3547
COD,-4.0383,21.7587
COG,-0.2280,15.8277
COK,-21.2367,-159.7777
COL,4.5709,-74.2973
COM,-11.6455,43.3333
CPV,16.5388,-23.0418
CRI,9.7489,-83.7534
CUB,21.5218,-77.7812
CUW,12.1696,-68.9900
CXR,-10.4475,105.6904
CYM,19.3133,-81.2546
CYP,35.1264,33.4299
CZE,49.8175,15.4730
DEU,51.1657,10.4515
DJI,11.8251,42.5903
DMA,15.4150,-61.3710
DNK,56.2639,9.5018
DOM,18.7357,-70.1627
DZA,28.0339,1.6596
ECU,-1.8312,-78.1834
EGY,26.8206,30.8025
ERI,15.1794,39.7823
ESH,24.2155,-12.8858
ESP,40.4637,-3.7492
EST,58.5953,25.0136
ETH,9.1450,40.4897
FIN,61.9241,25.7482
FJI,-16.5780,179.4144
FLK,-51.7963,-59.5236
FRA,46.2276,2.2137
FRO,61.8926,-6.9118
FSM,7.4256,150.5508
GAB,-0.8037,11.6094
GBR,55.3781,-3.4360
GEO,42.3154,43.3569
GGY,49.4657,-2.5853
GHA,7.9465,-1.0232
GIB,36.1377,-5.3453
GIN,9.9456,-9.6966
GLP,16.2650,-61.5510
GMB,13.4432,-15.3101
GNB,11.8037,-15.1804
GNQ,1.6508,10.2679
GRC,39.0742,21.8243
GRD,12.1165,-61.6790
GRL,71.7069,-42.6043
GTM,15.7835,-90.2308
GUF,3.9339,-53.1258
GUM,13.4443,144.7937
GUY,4.8604,-58.9302
HKG,22.3193,114.1694
HMD,-53.0818,73.5042
HND,15.2000,-86.2419
HRV,45.1000,15.2000
HTI,18.9712,-72.2852
HUN,47.1625,19.5033
IDN,-0.7893,113.9213
IMN,54.2361,-4.5481
IND,20.5937,78.9629
IOT,-6.3432,71.8765
IRL,53.4129,-8.2439
IRN,32.4279,53.6880
IRQ,33.2232,43.6793
ISL,64.9631,-19.0208
ISR,31.0461,34.8516
ITA,41.8719,12.5674
JAM,18.1096,-77.2975
JEY,49.2144,-2.1312
JOR,30.5852,36.2384
JPN,36.2048,138.2529
KAZ,48.0196,66.9237
KEN,-0.0236,37.9062
KGZ,41.2044,74.7661
KHM,12.5657,104.9910
KIR,-3.3704,-168.7340
KNA,17.3578,-62.7830
KOR,35.9078,127.7669
KWT,29.3117,47.4818
LAO,19.8563,102.4955
LBN,33.8547,35.8623
LBR,6.4281,-9.4295
LBY,26.3351,17.2283
LCA,13.9094,-60.9789
LIE,47.1660,9.5554
LKA,7.8731,80.7718
LSO,-29.6100,28.2336
LTU,55.1694,23.8813
LUX,49.8153,6.1296
LVA,56.8796,24.6032
MAC,22.1987,113.5439
MAF,18.0731,-63.0822
MAR,31.7917,-7.0926
MCO,43.7384,7.4246
MDA,47.4116,28.3699
MDG,-18.7669,46.8691
MDV,3.2028,73.2207
MEX,23.6345,-102.5528
MHL,7.1315,171.1845
MKD,41.6086,21.7453
MLI,17.5707,-3.9962
MLT,35.9375,14.3754
MMR,21.9162,95.9560
MNE,42.7087,19.3744
MNG,46.8625,103.8467
MNP,17.3308,145.3846
MOZ,-18.6657,35.5296
MRT,21.0079,-10.9408
MSR,16.7425,-62.1874
MTQ,14.6415,-61.0242
MUS,-20.3484,57.5522
MWI,-13.2543,34.3015
MYS,4.2105,101.9758
MYT,-12.8275,45.1662
NAM,-22.9576,18.4904
NCL,-20.9043,165.6180
NER,17.6078,8.0817
NFK,-29.0408,167.9547
NGA,9.0820,8.6753
NIC,12.8654,-85.2072
NIU,-19.0544,-169.8672
NLD,52.1326,5.2913
NOR,60.4720,8.4689
NPL,28.3949,84.1240
NRU,-0.5228,166.9315
NZL,-40.9006,174.8860
OMN,21.4735,55.9754
PAK,30.3753,69.3451
PAN,8.5380,-80.7821
PCN,-24.7036,-127.4393
PER,-9.1900,-75.0152
PHL,12.8797,121.7740
PLW,7.5150,134.5825
PNG,-6.3150,143.9555
POL,51.9194,19.1451
PRI,18.2208,-66.5901
PRK,40.3399,127.5101
PRT,39.3999,-8.2245
PRY,-23.4425,-58.4438
PSE,31.9522,35.2332
PYF,-17.6797,-149.4068
QAT,25.3548,51.1839
REU,-21.1151,55.5364
ROU,45.9432,24.9668
RUS,61.5240,105.3188
RWA,-1.9403,29.8739
SAU,23.8859,45.0792
SDN,12.8628,30.2176
SEN,14.4974,-14.4524
SGP,1.3521,103.8198
SGS,-54.4296,-36.5879
SHN,-24.1435,-10.0307
SJM,77.5536,23.6703
SLB,-9.6457,160.1562
SLE,8.4606,-11.7799
SLV,13.7942,-88.8965
SMR,43.9424,12.4578
SOM,5.1521,46.1996
SPM,46.9419,-56.2711
SRB,44.0165,21.0059
SSD,6.8770,31.3070
STP,0.1864,6.6131
SUR,3.9193,-56.0278
SVK,48.6690,19.6990
SVN,46.1512,14.9955
SWE,60.1282,18.6435
SWZ,-26.5225,31.4659
SXM,18.0425,-63.0548
SYC,-4.6796,55.4920
SYR,34.8021,38.9968
TCA,21.6940,-71.7979
TCD,15.4542,18.7322
TGO,8.6195,0.8248
THA,15.8700,100.9925
TJK,38.8610,71.2761
TKL,-8.9676,-171.8556
TKM,38.9697,59.5563
TLS,-8.8742,125.7275
TON,-21.1789,-175.1982
TTO,10.6918,-61.2225
TUN,33.8869,9.5375
TUR,38.9637,35.2433
TUV,-7.1095,177.6493
TWN,23.6978,120.9605
TZA,-6.3690,34.8888
UGA,1.3733,32.2903
UKR,48.3794,31.1656
UMI,16.7500,-169.5250
URY,-32.5228,-55.7658
USA,37.0902,-95.7129
UZB,41.3775,64.5853
VAT,41.9029,12.4534
VCT,12.9843,-61.2872
VEN,6.4238,-66.5897
VGB,18.4207,-64.6400
VIR,18.3358,-64.8963
VNM,14.0583,108.2772
VUT,-15.3767,166.9592
WLF,-13.7687,-177.1560
WSM,-13.7590,-172.1046
YEM,15.5527,48.5164
ZAF,-30.5595,22.9375
ZMB,-13.1339,27.8493
ZWE,-19.0154,29.1549
